word,rank,sentence_count
powerful,1264,46
september,1265,46
published,1266,16
trip,1267,57
photograph,1268,23
opinion,1269,162
fat,1270,327
easily,1271,172
secret,1272,310
sam,1273,96
funny,1274,228
grow,1276,257
pulled,1277,220
lord,1278,270
april,1279,17
speaking,1280,174
charge,1281,65
claim,1282,38
material,1284,25
fell,1285,725
realize,1286,66
fresh,1287,198
discussion,1288,21
bar,1291,50
doubt,1292,295
remain,1293,97
glass,1294,184
tough,1295,19
french,1296,83
walking,1298,180
compared,1301,37
generally,1303,69
larger,1304,42
finding,1305,114
mass,1306,35
capital,1308,61
biggest,1309,44
station,1310,134
quick,1311,236
closed,1312,171
concerned,1313,50
remains,1314,28
described,1315,29
neither,1317,358
conversation,1318,106
gold,1319,416
wide,1320,210
appear,1321,81
wind,1322,512
drink,1323,213
shown,1324,49
spring,1326,392
travel,1327,66
avoid,1328,32
track,1329,44
degree,1330,22
drugs,1331,12
fit,1333,186
pull,1335,125
style,1336,59
chinese,1337,16
hundred,1338,302
trial,1340,44
secretary,1341,16
lady,1343,920
offered,1344,141
surface,1346,36
league,1347,12
title,1349,31
mostly,1350,38
ai,1351,299
arm,1352,339
wonderful,1353,349
hearing,1354,120
enjoy,1355,187
rose,1357,745
kitchen,1358,358
images,1359,14
meaning,1360,112
influence,1361,54
stock,1363,34
jim,1365,322
appears,1366,20
purpose,1367,123
tree,1369,931
windows,1371,103
governor,1372,75
card,1373,28
british,1374,41
heavy,1378,231
amazing,1379,19
happening,1382,36
mary,1383,592
fighting,1384,100
direct,1385,27
coffee,1387,32
bought,1389,120
steps,1390,223
mission,1391,21
stars,1392,149
cell,1393,12
labor,1394,17
patient,1395,96
alive,1396,200
audience,1397,30
otherwise,1399,78
excuse,1400,95
argument,1401,28
nine,1403,102
murder,1404,34
names,1407,125
suggest,1408,24
hotel,1410,36
drop,1411,119
plant,1413,38
christmas,1414,230
highly,1416,28
monday,1418,89
failed,1419,120
text,1420,32
planning,1422,28
driving,1423,80
richard,1424,140
correct,1425,27
firm,1426,63
direction,1429,135
thinks,1430,198
concern,1431,32
independent,1432,29
served,1433,89
seat,1434,125
raise,1437,31
truly,1438,171
keeping,1439,148
journal,1440,18
football,1442,15
forced,1443,62
hill,1444,484
features,1445,43
details,1446,25
responsible,1447,27
apparently,1448,37
crisis,1450,11
rise,1451,96
spoke,1453,477
memory,1454,118
sold,1455,101
becomes,1456,30
release,1458,12
missing,1459,38
catch,1461,396
animals,1462,75
develop,1463,19
slow,1464,89
stupid,1465,121
weapons,1466,18
notes,1467,47
battle,1469,114
collection,1470,31
authority,1472,17
sick,1473,294
produce,1474,17
sweet,1475,535
worst,1477,154
presence,1479,122
trees,1480,413
european,1481,10
feels,1482,68
thomas,1483,166
folks,1484,369
watched,1486,358
wearing,1487,61
yesterday,1488,161
somewhere,1489,141
returned,1490,635
appeared,1491,305
join,1492,98
edge,1493,239
grew,1494,619
released,1495,16
ended,1496,122
debt,1497,30
carry,1498,364
extra,1499,47
speed,1501,66
leaves,1504,217
benefit,1505,22
latest,1506,16
intelligence,1509,12
spirit,1510,284
seriously,1511,69
lots,1514,107
runs,1515,58
prison,1516,79
w,1517,16
beach,1518,82
opening,1521,103
agreed,1522,173
dance,1523,162
regular,1525,80
pictures,1526,71
ride,1527,127
museum,1528,10
measure,1529,37
dangerous,1530,71
responsibility,1531,25
afternoon,1532,441
spot,1533,206
believed,1535,198
finished,1536,250
religion,1537,23
accept,1538,52
january,1539,11
tells,1540,78
require,1541,19
machine,1542,19
lie,1544,213
aware,1545,46
agreement,1546,10
band,1548,46
covered,1549,196
closer,1550,29
fully,1552,48
tuesday,1553,30
editor,1555,13
ship,1556,235
chris,1557,13
august,1559,59
chair,1560,213
bag,1561,138
lake,1563,128
caused,1564,72
block,1565,23
attempt,1566,50
promise,1567,288
mentioned,1568,57
realized,1569,94
homes,1570,39
smile,1572,395
ii,1574,36
decide,1576,75
broken,1577,297
helping,1578,71
knowing,1579,182
generation,1581,10
twice,1582,198
winter,1583,373
parties,1584,28
sky,1585,282
turning,1586,228
throw,1587,142
x,1589,32
receive,1590,63
corner,1591,340
setting,1592,96
apple,1594,158
threat,1595,16
filled,1596,315
largest,1597,24
slowly,1598,326
wear,1599,231
advice,1600,160
healthy,1601,21
easier,1605,102
hundreds,1606,42
smart,1607,224
path,1610,355
paying,1611,18
surprise,1612,309
camp,1613,82
notice,1614,180
william,1615,183
gay,1616,154
picked,1617,212
cash,1618,17
showing,1619,53
liked,1620,439
offers,1621,12
officers,1622,27
foot,1623,379
millions,1625,27
uses,1626,13
vision,1628,39
frank,1629,216
eating,1630,159
becoming,1631,63
mental,1632,26
progress,1633,20
task,1634,99
glad,1636,857
appropriate,1637,22
spread,1639,163
instance,1640,32
plants,1642,27
surprised,1644,263
warm,1645,318
grand,1647,112
broke,1648,296
protection,1649,15
quiet,1652,304
handle,1653,47
sides,1654,102
moral,1655,44
scale,1657,13
dropped,1660,302
train,1661,166
clothes,1662,273
library,1663,40
interests,1664,19
active,1665,22
push,1666,42
london,1667,32
steve,1668,23
changing,1670,42
weather,1671,118
animal,1674,79
improve,1675,23
demand,1676,33
strength,1677,189
mountain,1678,143
pieces,1679,170
condition,1680,67
distance,1681,179
towards,1682,320
africa,1683,20
starts,1686,13
possibly,1688,100
customers,1689,14
tiny,1691,126
writer,1692,40
lay,1693,766
impossible,1694,138
master,1695,599
foundation,1696,13
gotten,1697,17
teach,1698,173
concerns,1699,10
produced,1700,53
forms,1703,15
